positive,negative,label
27.93,-6.12,1
37.67,-5.45,1
10.19,-5.240,1
31.910,-30.64,0
13.41,-3.06,1
30.680,-35.80,1
35.49,-32.73,0
33.89,-20.250,1
21.59,-3.62,0
82.680,-36.450,0
20.95,-7.96,1
16.92,-26.82,0
22.16,-27.49,0
6.390,-5.84,1
18.84,-11.55,1
10.83,-11.54,0
29.300,-21.690,1
9.26,-10.730,0
4.510,-10.070,0
26.820,-30.94,0
108.790,-74.630,1
225.670,-92.970,1
66.850,-55.310,0
90.280,-68.510,0
38.410,-12.96,1
46.96,-40.47,0
30.38,-31.460,1
185.790,-75.780,1
13.480,-10.160,1
34.760,-52.630,0
48.000,-75.060,0
24.62,-7.76,0
25.230,-17.15,0
69.490,-14.85,1
5.40,-2.270,1
5.61,-1.90,1
28.880,-10.380,1
1.93,-14.22,0
13.13,-2.23,1
142.360,-52.460,1
10.01,-1.45,1
1.73,-1.620,1
15.04,-8.04,0
4.32,-3.33,0
96.320,-60.42,0
21.40,-2.57,1
16.83,-17.87,0
21.90,-15.12,0
27.950,-10.45,0
32.890,-5.240,1
24.46,-15.330,0
8.35,-2.84,1
13.750,-7.24,0
23.86,-29.460,0
18.35,-3.21,1
41.69,-38.380,1
43.33,-25.400,1
3.22,-4.14,1
52.540,-24.04,0
28.190,-14.750,1
16.910,-10.16,1
187.160,-65.050,1
21.370,-17.31,0
34.170,-12.51,0
55.89,-7.79,1
3.38,-10.73,0
64.010,-24.640,1
15.66,-2.75,0
52.41,-51.410,0
94.460,-15.570,1
7.01,-2.64,0
5.77,-0.47,1
60.13,-21.14,1
4.94,-4.300,1
11.14,-7.05,1
31.93,-23.68,0
4.13,-1.18,1
6.11,-13.00,0
9.07,-7.73,1
9.44,-10.08,0
52.42,-34.710,0
52.60,-12.63,1
162.950,-68.710,1
38.520,-24.380,1
7.740,-11.840,0
15.83,-8.74,1
66.420,-55.52,0
35.710,-30.430,0
90.140,-72.220,0
19.940,-15.54,0
43.72,-14.72,1
17.83,-16.530,1
116.450,-32.130,1
43.30,-24.360,0
5.820,-2.500,1
3.840,-2.29,0
9.860,-7.49,0
12.07,-11.93,1
13.310,-4.37,1
20.770,-5.40,1
60.060,-40.32,0
0,-0.38,1
24.680,-3.72,1
60.64,-27.44,1
9.86,-3.76,1
2.70,-3.64,0
23.08,-3.67,0
17.72,-12.81,0
13.84,-18.88,0
124.160,-51.300,1
57.79,-38.490,0
42.70,-6.14,1
0.88,-2.38,0
34.47,-5.47,1
13.630,-17.600,0
35.400,-13.710,1
6.82,-8.37,0
11.890,-9.26,1
60.740,-59.580,0
4.55,-13.52,1
53.870,-30.40,1
35.97,-31.16,0
29.560,-20.340,0
83.410,-15.420,1
31.040,-9.80,1
9.85,-11.93,0
1.00,-4.05,0
